time/s	Ewe/V	<I>/mA	cycle number	
2.850899927980208E+000	-3.4042910E-001	-8.434161689081135E-003	1.000000000000000E+000
2.881699927202135E+000	-3.4358329E-001	-8.717791245141659E-003	1.000000000000000E+000
2.912499926424061E+000	-3.4661451E-001	-8.582499639441868E-003	1.000000000000000E+000
2.943299925645988E+000	-3.4971783E-001	-8.960616030795052E-003	1.000000000000000E+000
2.974099924867915E+000	-3.5276774E-001	-8.728459407775828E-003	1.000000000000000E+000
3.004899924089841E+000	-3.5583541E-001	-9.134816505137644E-003	1.000000000000000E+000
3.035699923311768E+000	-3.5889658E-001	-8.937955666138420E-003	1.000000000000000E+000
3.066499922533694E+000	-3.6197644E-001	-9.275163736867167E-003	1.000000000000000E+000
3.097399921753095E+000	-3.6505231E-001	-9.230461827972547E-003	1.000000000000000E+000
3.128199920975021E+000	-3.6820784E-001	-9.439980340217119E-003	1.000000000000000E+000
3.158999920196948E+000	-3.7125820E-001	-9.515763016837736E-003	1.000000000000000E+000
3.189799919418874E+000	-3.7434611E-001	-9.546788264059081E-003	1.000000000000000E+000
3.220599918640801E+000	-3.7739995E-001	-9.744770450189844E-003	1.000000000000000E+000
3.251399917862727E+000	-3.8050085E-001	-9.707804698551661E-003	1.000000000000000E+000
3.282199917084654E+000	-3.8357359E-001	-9.980818124156701E-003	1.000000000000000E+000
3.312999916306580E+000	-3.8665867E-001	-9.812947130915350E-003	1.000000000000000E+000
3.343799915528507E+000	-3.8972726E-001	-1.023047138356484E-002	1.000000000000000E+000
3.389999914361397E+000	-3.9435169E-001	-1.011417242446477E-002	1.000000000000000E+000
3.436199913194287E+000	-3.9898214E-001	-9.808612239677716E-003	1.000000000000000E+000
3.466999912416213E+000	-4.0203074E-001	-9.943095310529670E-003	1.000000000000000E+000
3.497799911638140E+000	-4.0512756E-001	-1.009322182438288E-002	1.000000000000000E+000
3.528599910860066E+000	-4.0820351E-001	-1.011680864390532E-002	1.000000000000000E+000
3.559399910081993E+000	-4.1130432E-001	-1.026839694285051E-002	1.000000000000000E+000
3.590199909303919E+000	-4.1438401E-001	-1.032038635372007E-002	1.000000000000000E+000
3.621099908523320E+000	-4.1747868E-001	-1.050553798209763E-002	1.000000000000000E+000
3.651899907745246E+000	-4.2055216E-001	-1.051378635780725E-002	1.000000000000000E+000
3.682699906967173E+000	-4.2362359E-001	-1.066288721287299E-002	1.000000000000000E+000
3.713499906189099E+000	-4.2671186E-001	-1.069660934497325E-002	1.000000000000000E+000
3.744299905411026E+000	-4.2979997E-001	-1.098520637355008E-002	1.000000000000000E+000
3.775099904632953E+000	-4.3286809E-001	-1.093311930647911E-002	1.000000000000000E+000
3.805899903854879E+000	-4.3595073E-001	-1.114184145692676E-002	1.000000000000000E+000
3.836699903076806E+000	-4.3897063E-001	-1.115765564455573E-002	1.000000000000000E+000
3.867499902298732E+000	-4.4208559E-001	-1.132516978082554E-002	1.000000000000000E+000
3.898299901520659E+000	-4.4516891E-001	-1.140079539262505E-002	1.000000000000000E+000
3.929099900742585E+000	-4.4822022E-001	-1.155436799475276E-002	1.000000000000000E+000
3.959899899964512E+000	-4.5134112E-001	-1.165062030885619E-002	1.000000000000000E+000
3.990699899186438E+000	-4.5438924E-001	-1.168025722080490E-002	1.000000000000000E+000
4.021499898408365E+000	-4.5746648E-001	-1.189351850105518E-002	1.000000000000000E+000
4.052299897630292E+000	-4.6054897E-001	-1.190498779356869E-002	1.000000000000000E+000
4.083099896852218E+000	-4.6360555E-001	-1.216239609452513E-002	1.000000000000000E+000
4.113899896074145E+000	-4.6671134E-001	-1.213188279612886E-002	1.000000000000000E+000
4.144699895296071E+000	-4.6978369E-001	-1.235856368701288E-002	1.000000000000000E+000
4.175499894517998E+000	-4.7290415E-001	-1.237789852875967E-002	1.000000000000000E+000
4.206299893739924E+000	-4.7598639E-001	-1.255490283069838E-002	1.000000000000000E+000
4.237099892961851E+000	-4.7904921E-001	-1.255400430491016E-002	1.000000000000000E+000
4.267899892183777E+000	-4.8215204E-001	-1.274121857389668E-002	1.000000000000000E+000
4.298699891405704E+000	-4.8521549E-001	-1.278470729712567E-002	1.000000000000000E+000
4.329499890627631E+000	-4.8828974E-001	-1.292805675708410E-002	1.000000000000000E+000
4.360299889849557E+000	-4.9140161E-001	-1.310790472648743E-002	1.000000000000000E+000
4.391099889071484E+000	-4.9445486E-001	-1.306693917587240E-002	1.000000000000000E+000
4.421899888293410E+000	-4.9750894E-001	-1.329323623628753E-002	1.000000000000000E+000
4.452699887515337E+000	-5.0062299E-001	-1.327936876938987E-002	1.000000000000000E+000
4.483599886734737E+000	-5.0370836E-001	-1.358785956714052E-002	1.000000000000000E+000
4.500999886295176E+000	-5.0535113E-001	-1.252713948488235E-002	1.000000000000000E+000
4.517899885868246E+000	-5.0345117E-001	-9.612288805310953E-003	1.000000000000000E+000
4.548699885090173E+000	-5.0041485E-001	-8.261324852624973E-003	1.000000000000000E+000
4.579499884312099E+000	-4.9726778E-001	-7.169415694692541E-003	1.000000000000000E+000
4.610299883534026E+000	-4.9424905E-001	-6.316592436049782E-003	1.000000000000000E+000
4.641099882755952E+000	-4.9116042E-001	-5.638566634290867E-003	1.000000000000000E+000
4.671899881977879E+000	-4.8807332E-001	-4.889189051958648E-003	1.000000000000000E+000
4.702699881199806E+000	-4.8496780E-001	-4.555242664872790E-003	1.000000000000000E+000
4.733499880421732E+000	-4.8194435E-001	-3.898572181428364E-003	1.000000000000000E+000
4.764299879643659E+000	-4.7885025E-001	-3.619256777126496E-003	1.000000000000000E+000
