time/s	Ewe/V	<I>/mA	cycle number	
1.372299965332786E+000	3.6434498E-001	-3.199852799182338E-003	1.000000000000000E+000
1.403099964554713E+000	3.6127120E-001	-3.400068134063156E-003	1.000000000000000E+000
1.433899963776639E+000	3.5815293E-001	-3.369710299639936E-003	1.000000000000000E+000
1.464699962998566E+000	3.5506684E-001	-3.412183432905086E-003	1.000000000000000E+000
1.495499962220492E+000	3.5203806E-001	-3.529197198514321E-003	1.000000000000000E+000
1.526299961442419E+000	3.4892905E-001	-3.469541236970707E-003	1.000000000000000E+000
1.557099960664345E+000	3.4588370E-001	-3.682375628636853E-003	1.000000000000000E+000
1.587899959886272E+000	3.4275910E-001	-3.479186528792949E-003	1.000000000000000E+000
1.618699959108199E+000	3.3970913E-001	-3.895068615185029E-003	1.000000000000000E+000
1.649499958330125E+000	3.3662814E-001	-3.608901221290761E-003	1.000000000000000E+000
1.680299957552052E+000	3.3350831E-001	-3.983733334587805E-003	1.000000000000000E+000
1.711199956771452E+000	3.3051816E-001	-3.793275334162051E-003	1.000000000000000E+000
1.741999955993379E+000	3.2735062E-001	-4.096989985969678E-003	1.000000000000000E+000
1.772799955215305E+000	3.2432935E-001	-3.989193513679434E-003	1.000000000000000E+000
1.803599954437232E+000	3.2121003E-001	-4.146146240250267E-003	1.000000000000000E+000
1.834399953659158E+000	3.1811309E-001	-4.173132213752144E-003	1.000000000000000E+000
1.865199952881085E+000	3.1502372E-001	-4.227279210692760E-003	1.000000000000000E+000
1.895999952103011E+000	3.1201902E-001	-4.415033044106467E-003	1.000000000000000E+000
1.926799951324938E+000	3.0888131E-001	-4.315254741302714E-003	1.000000000000000E+000
1.957599950546864E+000	3.0588067E-001	-4.629829203600055E-003	1.000000000000000E+000
1.988399949768791E+000	3.0278128E-001	-4.358043478357505E-003	1.000000000000000E+000
2.019199948990718E+000	2.9966775E-001	-4.756895734332439E-003	1.000000000000000E+000
2.049999948212644E+000	2.9658762E-001	-4.454056875247012E-003	1.000000000000000E+000
2.080799947434571E+000	2.9351887E-001	-4.824412425227499E-003	1.000000000000000E+000
2.111599946656497E+000	2.9046348E-001	-4.679694371415764E-003	1.000000000000000E+000
2.142399945878424E+000	2.8738678E-001	-4.939201283164991E-003	1.000000000000000E+000
2.173199945100350E+000	2.8425923E-001	-4.885889191145416E-003	1.000000000000000E+000
2.203999944322277E+000	2.8121051E-001	-5.034810060428635E-003	1.000000000000000E+000
2.234899943541677E+000	2.7812034E-001	-5.098915193117718E-003	1.000000000000000E+000
2.265699942763604E+000	2.7507803E-001	-5.061937499610592E-003	1.000000000000000E+000
2.296499941985530E+000	2.7203068E-001	-5.329174675283821E-003	1.000000000000000E+000
2.327299941207457E+000	2.6884824E-001	-5.170577683478034E-003	1.000000000000000E+000
2.358099940429383E+000	2.6580369E-001	-5.572676506313823E-003	1.000000000000000E+000
2.388899939651310E+000	2.6272002E-001	-5.293042294388865E-003	1.000000000000000E+000
2.419699938873237E+000	2.5961727E-001	-5.723756579723197E-003	1.000000000000000E+000
2.450499938095163E+000	2.5659359E-001	-5.451624845931383E-003	1.000000000000000E+000
2.481299937317090E+000	2.5350317E-001	-5.821813296595202E-003	1.000000000000000E+000
2.512099936539016E+000	2.5041860E-001	-5.675170394770071E-003	1.000000000000000E+000
2.542899935760943E+000	2.4732842E-001	-5.858311598095994E-003	1.000000000000000E+000
2.573699934982869E+000	2.4427146E-001	-5.872815066745682E-003	1.000000000000000E+000
2.604499934204796E+000	2.4113849E-001	-5.972470519464805E-003	1.000000000000000E+000
2.635299933426722E+000	2.3804836E-001	-6.107818545946039E-003	1.000000000000000E+000
2.666099932648649E+000	2.3493463E-001	-6.071452479448777E-003	1.000000000000000E+000
2.696899931870576E+000	2.3189996E-001	-6.380294816401462E-003	1.000000000000000E+000
