time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	7.2036648E-001	-1.230903086252511E-003	1.000000000000000E+000
1.689999957307009E-002	7.1825105E-001	-1.645031828130963E-003	1.000000000000000E+000
4.769999879499665E-002	7.1522790E-001	-1.421749037854454E-003	1.000000000000000E+000
7.849999801692320E-002	7.1213585E-001	-1.533419230327127E-003	1.000000000000000E+000
1.092999972388498E-001	7.0900834E-001	-1.564215528253858E-003	1.000000000000000E+000
1.400999964607763E-001	7.0588452E-001	-1.526776666804421E-003	1.000000000000000E+000
1.708999956827029E-001	7.0284671E-001	-1.634181065306890E-003	1.000000000000000E+000
2.016999949046294E-001	6.9976938E-001	-1.542669225902203E-003	1.000000000000000E+000
2.324999941265560E-001	6.9668460E-001	-1.711301854084386E-003	1.000000000000000E+000
2.632999933484825E-001	6.9362557E-001	-1.540272796865527E-003	1.000000000000000E+000
2.940999925704091E-001	6.9049257E-001	-1.771440202309731E-003	1.000000000000000E+000
3.249999917898094E-001	6.8747211E-001	-1.550093864501433E-003	1.000000000000000E+000
3.557999910117360E-001	6.8435186E-001	-1.815952744820930E-003	1.000000000000000E+000
3.865999902336625E-001	6.8129337E-001	-1.621996692630918E-003	1.000000000000000E+000
4.173999894555891E-001	6.7817813E-001	-1.806974696801092E-003	1.000000000000000E+000
4.481999886775156E-001	6.7515445E-001	-1.758842671920294E-003	1.000000000000000E+000
4.789999878994422E-001	6.7206854E-001	-1.774567057680915E-003	1.000000000000000E+000
5.097999871213688E-001	6.6895962E-001	-1.835715911801199E-003	1.000000000000000E+000
5.405999863432953E-001	6.6589016E-001	-1.767151305814516E-003	1.000000000000000E+000
5.713999855652219E-001	6.6281009E-001	-1.913067571924113E-003	1.000000000000000E+000
6.021999847871484E-001	6.5974188E-001	-1.752828324692767E-003	1.000000000000000E+000
6.329999840090750E-001	6.5667242E-001	-1.981337742417551E-003	1.000000000000000E+000
6.637999832310015E-001	6.5361023E-001	-1.773427153807697E-003	1.000000000000000E+000
6.945999824529281E-001	6.5052325E-001	-2.028706661280404E-003	1.000000000000000E+000
7.253999816748546E-001	6.4742631E-001	-1.817514417622148E-003	1.000000000000000E+000
7.561999808967812E-001	6.4434499E-001	-2.079514148768488E-003	1.000000000000000E+000
7.869999801187078E-001	6.4131862E-001	-1.909193535733045E-003	1.000000000000000E+000
8.177999793406343E-001	6.3817686E-001	-2.033426923394636E-003	1.000000000000000E+000
8.486999785600347E-001	6.3509375E-001	-2.008529089033997E-003	1.000000000000000E+000
8.794999777819612E-001	6.3202715E-001	-2.010522391818191E-003	1.000000000000000E+000
9.102999770038878E-001	6.2891424E-001	-2.130908215511505E-003	1.000000000000000E+000
9.410999762258143E-001	6.2576967E-001	-2.032055309784096E-003	1.000000000000000E+000
9.718999754477409E-001	6.2275648E-001	-2.189565945832396E-003	1.000000000000000E+000
1.002699974669667E+000	6.1963445E-001	-2.027362795348897E-003	1.000000000000000E+000
1.033499973891594E+000	6.1657929E-001	-2.277941103273243E-003	1.000000000000000E+000
1.064299973113521E+000	6.1350673E-001	-2.028112347845397E-003	1.000000000000000E+000
1.095099972335447E+000	6.1040258E-001	-2.285341850675707E-003	1.000000000000000E+000
1.125899971557374E+000	6.0736221E-001	-2.098830664958850E-003	1.000000000000000E+000
1.156699970779300E+000	6.0425448E-001	-2.321930617761783E-003	1.000000000000000E+000
1.187499970001227E+000	6.0121727E-001	-2.226705961287739E-003	1.000000000000000E+000
1.218299969223153E+000	5.9809530E-001	-2.287385022248969E-003	1.000000000000000E+000
1.249099968445080E+000	5.9502470E-001	-2.343839252062547E-003	1.000000000000000E+000
1.279899967667006E+000	5.9193623E-001	-2.279284795307132E-003	1.000000000000000E+000
1.310699966888933E+000	5.8887023E-001	-2.401657744754621E-003	1.000000000000000E+000
1.341499966110860E+000	5.8579111E-001	-2.262976690788968E-003	1.000000000000000E+000
1.372299965332786E+000	5.8271956E-001	-2.490276851362300E-003	1.000000000000000E+000
1.403099964554713E+000	5.7962567E-001	-2.260762539532259E-003	1.000000000000000E+000
1.433899963776639E+000	5.7652730E-001	-2.556942019780822E-003	1.000000000000000E+000
1.464699962998566E+000	5.7351321E-001	-2.295868440340149E-003	1.000000000000000E+000
1.495499962220492E+000	5.7038647E-001	-2.544172021875124E-003	1.000000000000000E+000
1.526299961442419E+000	5.6737155E-001	-2.380015451997168E-003	1.000000000000000E+000
1.557099960664345E+000	5.6425518E-001	-2.525219157247245E-003	1.000000000000000E+000
1.587899959886272E+000	5.6116730E-001	-2.467932541876272E-003	1.000000000000000E+000
1.618699959108199E+000	5.5810189E-001	-2.511693245990577E-003	1.000000000000000E+000
1.649499958330125E+000	5.5501032E-001	-2.576095773112370E-003	1.000000000000000E+000
1.680299957552052E+000	5.5191034E-001	-2.543045909498197E-003	1.000000000000000E+000
1.711199956771452E+000	5.4881299E-001	-2.688542432921201E-003	1.000000000000000E+000
1.741999955993379E+000	5.4571998E-001	-2.536915005826744E-003	1.000000000000000E+000
1.772799955215305E+000	5.4266816E-001	-2.763950046309508E-003	1.000000000000000E+000
1.803599954437232E+000	5.3957582E-001	-2.512656016441815E-003	1.000000000000000E+000
1.834399953659158E+000	5.3650510E-001	-2.799225623668217E-003	1.000000000000000E+000
1.865199952881085E+000	5.3343767E-001	-2.572554755597201E-003	1.000000000000000E+000
1.895999952103011E+000	5.3034443E-001	-2.801032268110364E-003	1.000000000000000E+000
1.926799951324938E+000	5.2732927E-001	-2.689841074537055E-003	1.000000000000000E+000
1.957599950546864E+000	5.2416366E-001	-2.771400839814809E-003	1.000000000000000E+000
1.988399949768791E+000	5.2113038E-001	-2.788861857847949E-003	1.000000000000000E+000
2.019199948990718E+000	5.1801288E-001	-2.746850592257336E-003	1.000000000000000E+000
2.049999948212644E+000	5.1495981E-001	-2.846866033301372E-003	1.000000000000000E+000
2.080799947434571E+000	5.1188540E-001	-2.721578259112997E-003	1.000000000000000E+000
2.111599946656497E+000	5.0883293E-001	-2.933406854261911E-003	1.000000000000000E+000
2.142399945878424E+000	5.0569642E-001	-2.739947471952147E-003	1.000000000000000E+000
2.173199945100350E+000	5.0261557E-001	-3.017292245942008E-003	1.000000000000000E+000
2.203999944322277E+000	4.9957922E-001	-2.753026481770185E-003	1.000000000000000E+000
2.234899943541677E+000	4.9644688E-001	-3.055090677598959E-003	1.000000000000000E+000
2.265699942763604E+000	4.9337393E-001	-2.812233425224318E-003	1.000000000000000E+000
2.296499941985530E+000	4.9036703E-001	-3.009256951581107E-003	1.000000000000000E+000
2.327299941207457E+000	4.8721495E-001	-2.925156621832519E-003	1.000000000000000E+000
2.358099940429383E+000	4.8412946E-001	-2.978808825070081E-003	1.000000000000000E+000
2.388899939651310E+000	4.8109433E-001	-3.018314459276540E-003	1.000000000000000E+000
2.419699938873237E+000	4.7799480E-001	-2.990253258930446E-003	1.000000000000000E+000
2.450499938095163E+000	4.7492257E-001	-3.113109549958075E-003	1.000000000000000E+000
2.481299937317090E+000	4.7179452E-001	-3.016227569300582E-003	1.000000000000000E+000
2.512099936539016E+000	4.6868566E-001	-3.203794597967983E-003	1.000000000000000E+000
2.542899935760943E+000	4.6563587E-001	-2.967729202942405E-003	1.000000000000000E+000
2.573699934982869E+000	4.6256322E-001	-3.247406265924298E-003	1.000000000000000E+000
2.604499934204796E+000	4.5948261E-001	-3.016172863162501E-003	1.000000000000000E+000
2.635299933426722E+000	4.5637494E-001	-3.267865240591118E-003	1.000000000000000E+000
2.666099932648649E+000	4.5334563E-001	-3.091017468504601E-003	1.000000000000000E+000
2.696899931870576E+000	4.5027032E-001	-3.239189651642771E-003	1.000000000000000E+000
2.727699931092502E+000	4.4722900E-001	-3.229554969452960E-003	1.000000000000000E+000
2.758499930314429E+000	4.4408441E-001	-3.222066179931100E-003	1.000000000000000E+000
2.789299929536355E+000	4.4102973E-001	-3.277546633157567E-003	1.000000000000000E+000
2.820099928758282E+000	4.3794104E-001	-3.171760466217532E-003	1.000000000000000E+000
2.850899927980208E+000	4.3484434E-001	-3.362362165902133E-003	1.000000000000000E+000
2.881699927202135E+000	4.3180627E-001	-3.155217173641707E-003	1.000000000000000E+000
2.912499926424061E+000	4.2868626E-001	-3.446334917776080E-003	1.000000000000000E+000
2.943299925645988E+000	4.2557108E-001	-3.174891648636088E-003	1.000000000000000E+000
2.974099924867915E+000	4.2253879E-001	-3.478417343268946E-003	1.000000000000000E+000
3.004899924089841E+000	4.1948968E-001	-3.240413672726490E-003	1.000000000000000E+000
3.035699923311768E+000	4.1632122E-001	-3.443003286516498E-003	1.000000000000000E+000
3.066499922533694E+000	4.1333947E-001	-3.317578156156978E-003	1.000000000000000E+000
3.097399921753095E+000	4.1022149E-001	-3.437613852656047E-003	1.000000000000000E+000
3.128199920975021E+000	4.0714988E-001	-3.455356028390196E-003	1.000000000000000E+000
3.158999920196948E+000	4.0402117E-001	-3.439910443298784E-003	1.000000000000000E+000
3.189799919418874E+000	4.0100932E-001	-3.540105162872674E-003	1.000000000000000E+000
3.220599918640801E+000	3.9791781E-001	-3.425103538791607E-003	1.000000000000000E+000
3.251399917862727E+000	3.9481822E-001	-3.643074453085052E-003	1.000000000000000E+000
3.282199917084654E+000	3.9169475E-001	-3.383977136677235E-003	1.000000000000000E+000
3.312999916306580E+000	3.8861299E-001	-3.673547024297945E-003	1.000000000000000E+000
3.343799915528507E+000	3.8556051E-001	-3.424615385922520E-003	1.000000000000000E+000
3.374599914750434E+000	3.8249949E-001	-3.683998109043705E-003	1.000000000000000E+000
3.405399913972360E+000	3.7939730E-001	-3.514055345267633E-003	1.000000000000000E+000
3.436199913194287E+000	3.7632012E-001	-3.654084051055363E-003	1.000000000000000E+000
3.466999912416213E+000	3.7324569E-001	-3.576935256239502E-003	1.000000000000000E+000
3.497799911638140E+000	3.7018856E-001	-3.643049500738245E-003	1.000000000000000E+000
3.528599910860066E+000	3.6709484E-001	-3.658806370314800E-003	1.000000000000000E+000
3.559399910081993E+000	3.6402452E-001	-3.595007456636684E-003	1.000000000000000E+000
3.590199909303919E+000	3.6098912E-001	-3.768417545121330E-003	1.000000000000000E+000
3.621099908523320E+000	3.5781211E-001	-3.586032262953107E-003	1.000000000000000E+000
3.651899907745246E+000	3.5480553E-001	-3.847031965999247E-003	1.000000000000000E+000
3.682699906967173E+000	3.5174674E-001	-3.596114253518856E-003	1.000000000000000E+000
3.713499906189099E+000	3.4860760E-001	-3.920090836922677E-003	1.000000000000000E+000
3.744299905411026E+000	3.4554991E-001	-3.652159023392484E-003	1.000000000000000E+000
3.775099904632953E+000	3.4243616E-001	-3.874853615532275E-003	1.000000000000000E+000
3.805899903854879E+000	3.3935574E-001	-3.735354285698753E-003	1.000000000000000E+000
3.836699903076806E+000	3.3624634E-001	-3.863895113623835E-003	1.000000000000000E+000
3.867499902298732E+000	3.3326218E-001	-3.815921594198302E-003	1.000000000000000E+000
3.898299901520659E+000	3.3018920E-001	-3.861556449326967E-003	1.000000000000000E+000
3.929099900742585E+000	3.2706425E-001	-3.947514021687928E-003	1.000000000000000E+000
3.959899899964512E+000	3.2394281E-001	-3.848077849049961E-003	1.000000000000000E+000
3.990699899186438E+000	3.2093701E-001	-4.038663522910688E-003	1.000000000000000E+000
4.021499898408365E+000	3.1780869E-001	-3.803484090588324E-003	1.000000000000000E+000
4.052299897630292E+000	3.1475657E-001	-4.086775688348258E-003	1.000000000000000E+000
4.083099896852218E+000	3.1167951E-001	-3.841346919953047E-003	1.000000000000000E+000
4.113899896074145E+000	3.0856696E-001	-4.120579955458746E-003	1.000000000000000E+000
4.144699895296071E+000	3.0558759E-001	-3.941695202158274E-003	1.000000000000000E+000
4.175499894517998E+000	3.0248165E-001	-4.086726882398611E-003	1.000000000000000E+000
4.206299893739924E+000	2.9939207E-001	-4.017160225848700E-003	1.000000000000000E+000
4.237099892961851E+000	2.9630473E-001	-4.053442190972673E-003	1.000000000000000E+000
4.267899892183777E+000	2.9327863E-001	-4.063013844577697E-003	1.000000000000000E+000
4.298699891405704E+000	2.9014900E-001	-4.033855233338879E-003	1.000000000000000E+000
4.329499890627631E+000	2.8709149E-001	-4.174094768953571E-003	1.000000000000000E+000
4.360299889849557E+000	2.8396019E-001	-4.017944914419336E-003	1.000000000000000E+000
4.391099889071484E+000	2.8093591E-001	-4.283199492758308E-003	1.000000000000000E+000
4.421899888293410E+000	2.7783698E-001	-4.020539679771715E-003	1.000000000000000E+000
4.452699887515337E+000	2.7476805E-001	-4.327674912764552E-003	1.000000000000000E+000
4.483599886734737E+000	2.7166444E-001	-4.090250401985913E-003	1.000000000000000E+000
4.514399885956664E+000	2.6858032E-001	-4.320265633567404E-003	1.000000000000000E+000
4.545199885178590E+000	2.6551720E-001	-4.161538970360222E-003	1.000000000000000E+000
4.575999884400517E+000	2.6245961E-001	-4.318761146565538E-003	1.000000000000000E+000
4.606799883622443E+000	2.5937983E-001	-4.275806596078208E-003	1.000000000000000E+000
4.637599882844370E+000	2.5624782E-001	-4.284893497679437E-003	1.000000000000000E+000
4.668399882066296E+000	2.5322834E-001	-4.360183982973213E-003	1.000000000000000E+000
4.699199881288223E+000	2.5012130E-001	-4.301308752775422E-003	1.000000000000000E+000
4.729999880510150E+000	2.4709171E-001	-4.451862371238124E-003	1.000000000000000E+000
4.760799879732076E+000	2.4401231E-001	-4.225151540723157E-003	1.000000000000000E+000
4.791599878954003E+000	2.4090250E-001	-4.510196377792279E-003	1.000000000000000E+000
4.822399878175929E+000	2.3785840E-001	-4.252970093505962E-003	1.000000000000000E+000
4.853199877397856E+000	2.3469493E-001	-4.556906128872343E-003	1.000000000000000E+000
4.883999876619782E+000	2.3163767E-001	-4.349481910039948E-003	1.000000000000000E+000
4.914799875841709E+000	2.2856790E-001	-4.540624216779324E-003	1.000000000000000E+000
4.945599875063635E+000	2.2548851E-001	-4.437729163154956E-003	1.000000000000000E+000
4.976399874285562E+000	2.2239774E-001	-4.526924432459778E-003	1.000000000000000E+000
5.007299873504962E+000	2.1936393E-001	-4.495462626820323E-003	1.000000000000000E+000
5.038099872726889E+000	2.1620417E-001	-4.486553228394682E-003	1.000000000000000E+000
5.068899871948815E+000	2.1321262E-001	-4.626360101530350E-003	1.000000000000000E+000
5.099699871170742E+000	2.1008156E-001	-4.480933647414406E-003	1.000000000000000E+000
5.130499870392669E+000	2.0703432E-001	-4.740942952755900E-003	1.000000000000000E+000
5.161299869614595E+000	2.0391297E-001	-4.472415974455045E-003	1.000000000000000E+000
5.192099868836522E+000	2.0082071E-001	-4.816644049362898E-003	1.000000000000000E+000
5.222899868058448E+000	1.9780836E-001	-4.510650522982398E-003	1.000000000000000E+000
5.253699867280375E+000	1.9469173E-001	-4.785013217269013E-003	1.000000000000000E+000
5.284499866502301E+000	1.9161534E-001	-4.604021941036110E-003	1.000000000000000E+000
5.315299865724228E+000	1.8859679E-001	-4.792639936984752E-003	1.000000000000000E+000
5.346099864946154E+000	1.8543220E-001	-4.714457523940035E-003	1.000000000000000E+000
5.376899864168081E+000	1.8236732E-001	-4.813518705373124E-003	1.000000000000000E+000
5.407699863390008E+000	1.7931372E-001	-4.817842761981495E-003	1.000000000000000E+000
5.438499862611934E+000	1.7622262E-001	-4.753228993189931E-003	1.000000000000000E+000
5.469299861833861E+000	1.7320180E-001	-4.939823643315994E-003	1.000000000000000E+000
5.500099861055787E+000	1.7006907E-001	-4.724919338599217E-003	1.000000000000000E+000
