time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	6.3265055E-001	-5.280899931676686E-004	1.000000000000000E+000
1.689999957307009E-002	6.3046831E-001	-1.759468781272880E-003	1.000000000000000E+000
4.769999879499665E-002	6.2736875E-001	-1.433291049095380E-003	1.000000000000000E+000
7.849999801692320E-002	6.2428886E-001	-1.702469601788603E-003	1.000000000000000E+000
1.092999972388498E-001	6.2125516E-001	-1.577740295581188E-003	1.000000000000000E+000
1.400999964607763E-001	6.1810321E-001	-1.688981599918104E-003	1.000000000000000E+000
1.708999956827029E-001	6.1506408E-001	-1.664487501957997E-003	1.000000000000000E+000
2.016999949046294E-001	6.1195689E-001	-1.668482220770626E-003	1.000000000000000E+000
2.324999941265560E-001	6.0893404E-001	-1.752264368936961E-003	1.000000000000000E+000
2.632999933484825E-001	6.0583502E-001	-1.673445794342079E-003	1.000000000000000E+000
2.940999925704091E-001	6.0277116E-001	-1.855926756294923E-003	1.000000000000000E+000
3.249999917898094E-001	5.9970164E-001	-1.705451005706727E-003	1.000000000000000E+000
3.557999910117360E-001	5.9662479E-001	-1.983781335766027E-003	1.000000000000000E+000
3.865999902336625E-001	5.9351408E-001	-1.717956324018041E-003	1.000000000000000E+000
4.173999894555891E-001	5.9041482E-001	-1.997402582133694E-003	1.000000000000000E+000
4.481999886775156E-001	5.8740848E-001	-1.783140062898134E-003	1.000000000000000E+000
4.789999878994422E-001	5.8424973E-001	-2.019966293136017E-003	1.000000000000000E+000
5.097999871213688E-001	5.8119696E-001	-1.902184733678172E-003	1.000000000000000E+000
5.405999863432953E-001	5.7809705E-001	-2.007307886923410E-003	1.000000000000000E+000
5.713999855652219E-001	5.7503980E-001	-2.029919025701828E-003	1.000000000000000E+000
6.021999847871484E-001	5.7200700E-001	-1.998639840765808E-003	1.000000000000000E+000
6.329999840090750E-001	5.6896669E-001	-2.102582433481999E-003	1.000000000000000E+000
6.637999832310015E-001	5.6580997E-001	-1.996673224630183E-003	1.000000000000000E+000
6.945999824529281E-001	5.6274557E-001	-2.192115232370406E-003	1.000000000000000E+000
7.253999816748546E-001	5.5967933E-001	-2.003104011662718E-003	1.000000000000000E+000
7.561999808967812E-001	5.5658853E-001	-2.297663019408661E-003	1.000000000000000E+000
7.869999801187078E-001	5.5349982E-001	-2.041005478772614E-003	1.000000000000000E+000
8.177999793406343E-001	5.5037194E-001	-2.354030067107722E-003	1.000000000000000E+000
8.486999785600347E-001	5.4731977E-001	-2.154029475254525E-003	1.000000000000000E+000
8.794999777819612E-001	5.4422039E-001	-2.343151340241406E-003	1.000000000000000E+000
9.102999770038878E-001	5.4114056E-001	-2.240580617639099E-003	1.000000000000000E+000
9.410999762258143E-001	5.3808022E-001	-2.329272836725557E-003	1.000000000000000E+000
9.718999754477409E-001	5.3498697E-001	-2.336939801112625E-003	1.000000000000000E+000
1.002699974669667E+000	5.3188360E-001	-2.328245112016063E-003	1.000000000000000E+000
1.033499973891594E+000	5.2883965E-001	-2.451014344666672E-003	1.000000000000000E+000
1.064299973113521E+000	5.2575362E-001	-2.337212470465810E-003	1.000000000000000E+000
1.095099972335447E+000	5.2269638E-001	-2.585864630683168E-003	1.000000000000000E+000
1.125899971557374E+000	5.1959968E-001	-2.343501487550706E-003	1.000000000000000E+000
1.156699970779300E+000	5.1650876E-001	-2.667289916649826E-003	1.000000000000000E+000
1.187499970001227E+000	5.1345229E-001	-2.391456712194005E-003	1.000000000000000E+000
1.218299969223153E+000	5.1036483E-001	-2.676753994985976E-003	1.000000000000000E+000
1.249099968445080E+000	5.0732780E-001	-2.508691426157540E-003	1.000000000000000E+000
1.279899967667006E+000	5.0420898E-001	-2.701057287532546E-003	1.000000000000000E+000
1.310699966888933E+000	5.0113875E-001	-2.597225179074781E-003	1.000000000000000E+000
1.341499966110860E+000	4.9800289E-001	-2.707309386973090E-003	1.000000000000000E+000
1.372299965332786E+000	4.9497804E-001	-2.700047609904905E-003	1.000000000000000E+000
1.403099964554713E+000	4.9187553E-001	-2.655078763572086E-003	1.000000000000000E+000
1.433899963776639E+000	4.8883721E-001	-2.772756757397778E-003	1.000000000000000E+000
1.464699962998566E+000	4.8573512E-001	-2.643004818240979E-003	1.000000000000000E+000
1.495499962220492E+000	4.8266995E-001	-2.887799629847002E-003	1.000000000000000E+000
1.526299961442419E+000	4.7957978E-001	-2.657065556064202E-003	1.000000000000000E+000
1.557099960664345E+000	4.7646153E-001	-2.966278287686076E-003	1.000000000000000E+000
1.587899959886272E+000	4.7344813E-001	-2.758573078032820E-003	1.000000000000000E+000
